,Ticker,2020-02,2020-06-08 12:22:55.456383,Volume,Ratio1 in 5 yr,Ratio2 since Feb,Ratio1/Ratio2,Sector,Industry
290,NRGX,15.2980318069458,8.979999542236328,489641.0,0.493640591163548,0.5870035868378256,0.8409498719126711,,
473,ADXN,11.300000190734865,7.28000020980835,0.0,1.0,0.6442477953033481,1.5521977836635727,,
501,MDIA,6.8450000286102295,4.454599857330322,4183.0,0.714600423520421,0.6507815688402209,1.0980649387380987,,
507,IHTA,10.480428218841553,6.8334999084472665,47537.0,1.5165501558254468,0.6520248758692994,2.3259084307228868,,
747,XFLT,7.961763064066568,5.553500175476074,139315.0,0.8790410076721713,0.6975214071039632,1.260235168009909,,
808,EIC,19.090166409810386,13.484999656677244,9478.0,0.7358667379849398,0.706384604889947,1.0417366586005736,,
1077,NVCR,93.71500142415363,69.52500152587889,532489.0,6.466229487872872,0.7418769724092421,8.716040163470531,,
1284,NMCO,15.486650307973228,11.890000343322756,82930.0,1.4890195372724546,0.7677580436617236,1.9394385373948893,,
1525,JEMD,9.104622681935627,7.204999923706055,4901.0,1.1104911995269375,0.7913562346742175,1.4032759847833896,,
1910,DCF,9.394909540812174,7.769999980926514,30452.0,1.3038125764715778,0.8270436183736593,1.5764737766013617,,
2031,FINS,20.572238604227703,17.239999771118164,30468.0,1.8999563238179928,0.8380225459554632,2.2671899855054334,,
2113,HGLB,8.336605230967201,7.031199932098389,91180.0,0.2395199248596488,0.8434128445929348,0.2839889460958481,,
2340,RMM,20.385432243347168,17.559999465942386,27221.0,1.7471477991384046,0.8613994177961631,2.0282667518029838,,
2685,EFL,9.401957035064695,8.314999580383299,15822.0,1.1889648341922971,0.8843902976127653,1.3443892785817184,,
2726,JHAA,10.61054023106893,9.420000076293944,4526.0,1.707116999626976,0.8877964619285886,1.9228697937346484,,
2791,JPT,25.1882848739624,22.5,3211.0,1.4098278103419124,0.8932724126547682,1.5782730893389656,,
3284,TLC,5.290000041325887,4.889999866485597,2126.0,0.5300560730695878,0.9243856008099322,0.5734144631906436,,
3372,RMI,22.8842830657959,21.270999908447266,1462.0,2.245378462204372,0.9295025693962012,2.4156775205720566,,
3473,CPZ,18.954898516337078,17.734100341796875,39965.0,0.5941858181027709,0.9355945813432868,0.6350889904146989,,
3497,JHB,9.857214291890463,9.23799991607666,31149.0,1.297167562177336,0.9371816055248764,1.3841154740236783,,
3932,TCFCP,26.07161458333333,25.125,6310.0,1.7705612193941085,0.9636917544823452,1.837269242119,,
4076,AIO,20.02271270751953,19.493799209594727,106206.0,1.7632480671083468,0.9735843236802688,1.8110892135599017,,
4792,BSTZ,21.473040262858074,22.075000762939453,134130.0,1.8461338471892623,1.028033314924789,1.7957918487537785,,
5450,APHA,4.214999993642172,4.949999809265137,8760340.0,6.001018609333923,1.174377180719247,5.109958459562881,,
5691,GSMG,3.0359999895095826,4.009900093078613,35201.0,4.093133739140944e-06,1.3207839614407737,3.0990183547322614e-06,,
114,UAN,2.6733333667119346,1.310099959373474,247164.0,0.3805054965064816,0.490062322823895,0.7764430742479607,Basic Materials,Agricultural Inputs
393,LXU,2.7266666889190674,1.6979000568389893,995084.0,0.09387048283175464,0.6227017272551519,0.15074710527226662,Basic Materials,Chemicals
490,IPI,2.1533333460489907,1.3938000202178955,798135.0,0.16177664468514402,0.6472755473625518,0.2499347385272531,Basic Materials,Agricultural Inputs
616,GGB,4.708934624989827,3.174499988555908,9485802.0,1.469535533595558,0.6741439925092964,2.179854081508104,Basic Materials,Steel
748,USAP,13.274999936421715,9.260000228881836,11977.0,0.5439927146207562,0.6975518096595845,0.7798599431434814,Basic Materials,Steel
837,USCR,38.5733331044515,27.440000534057614,380438.0,1.3244922218756514,0.7113722959785123,1.8618833336119391,Basic Materials,Building Materials
855,KOP,31.72166633605957,22.6299991607666,142915.0,1.2265787590507498,0.7133925097447348,1.719360299268691,Basic Materials,Specialty Chemicals
856,SXC,5.87229061126709,4.190000057220459,514133.0,0.34763716328177885,0.7135205551954733,0.4872139432430808,Basic Materials,Coking Coal
869,BVN,12.420000076293945,8.885000228881836,654718.0,1.2661667944303912,0.7153784359342024,1.7699258613756261,Basic Materials,Other Precious Metals & Mining
918,ACH,7.3116668065388986,5.281000137329102,103257.0,0.620042581002712,0.7222703491639209,0.8584632910937784,Basic Materials,Aluminum
960,SIM,9.698383490244547,7.052000045776367,3738.0,1.071441948792328,0.7271314908169866,1.4735188371342345,Basic Materials,Steel
1095,MEOH,33.006699879964195,24.54999923706055,766280.0,0.8618614895676333,0.7437883619489917,1.1587455970798572,Basic Materials,Chemicals
1103,CSTM,12.986666520436607,9.670000076293944,1285529.0,0.7952880362529297,0.7446098705219424,1.0680600240975369,Basic Materials,Aluminum
1109,LTHM,11.28499984741211,8.409999847412111,889935.0,0.2522786619389415,0.7452370368742807,0.3385213689822292,Basic Materials,Specialty Chemicals
1223,SUM,23.78666687011719,18.104999542236328,519146.0,1.1367980117723229,0.7611406693125783,1.4935452244314031,Basic Materials,Building Materials
1238,VNTR,3.2100000381469727,2.450000047683716,442467.0,0.02677504648527674,0.7632398811739641,0.0350807749250382,Basic Materials,Specialty Chemicals
1254,GPRE,13.346666653951011,10.210000038146973,391567.0,0.641374774883037,0.7649850185719975,0.8384148176918489,Basic Materials,Specialty Chemicals
1295,AVD,17.652201652526855,13.579999923706055,62756.0,1.5462299982600152,0.7693091315757841,2.0098942477035933,Basic Materials,Agricultural Inputs
1342,GORO,5.176257292429606,4.009300231933594,598976.0,1.5829413035641942,0.7745558239149523,2.0436762008492804,Basic Materials,Gold
1345,SYNL,12.791666825612388,9.90999984741211,60415.0,0.7820487506651619,0.77472310548064,1.0094558238068516,Basic Materials,Steel
1378,TMST,5.766666730244953,4.489999771118164,300612.0,0.1684239844299998,0.778612668488203,0.21631292585698747,Basic Materials,Steel
1380,CINR,16.703152338663738,13.010000228881836,40204.0,1.067307648825052,0.7788949034947641,1.3702845454967425,Basic Materials,Chemicals
1423,MDU,31.56313292185466,24.70499992370605,873853.0,1.5619169240801511,0.7827169750503457,1.995506643994384,Basic Materials,Building Materials
1536,CX,3.878333330154419,3.0750000476837163,2888392.0,0.4590455161956155,0.7928663644703491,0.5789695928169022,Basic Materials,Building Materials
1555,LOMA,6.5633333524068185,5.2150001525878915,219612.0,0.07502354880666635,0.7945657903655792,0.09442081413063112,Basic Materials,Building Materials
1573,OEC,16.156947612762448,12.869999885559082,228714.0,1.1905548214614294,0.7965613427744859,1.494617875020941,Basic Materials,Specialty Chemicals
1575,MOS,18.82121181488037,14.994999885559082,2939329.0,0.4695229960730831,0.7967074614028721,0.5893292316433558,Basic Materials,Agricultural Inputs
1581,BAK,14.423333168029785,11.5,113058.0,0.06621910641132946,0.7973191679084599,0.08305219424868017,Basic Materials,Chemicals
1640,AA,15.99333349863688,12.850000381469727,7107579.0,0.4484678624554195,0.8034597904536248,0.5581708851941667,Basic Materials,Aluminum
1683,UNVR,22.466666539510086,18.1299991607666,675316.0,0.8664589807842338,0.8069732609812414,1.073714610730299,Basic Materials,Chemicals
1739,IOSP,103.19878387451172,83.73500061035156,39315.0,2.536401800557692,0.8113952264415456,3.1259757488115056,Basic Materials,Specialty Chemicals
1829,SID,2.9725892146428428,2.434999942779541,1505330.0,1.8227285479931563,0.8191511732548982,2.225143059675472,Basic Materials,Steel
1875,USAS,2.9766666491826377,2.450000047683716,583726.0,1.31067192014644,0.8230683299241657,1.5924217619540777,Basic Materials,Other Industrial Metals & Mining
1920,KALU,102.90884399414062,85.25,50264.0,1.6258441005121322,0.8284030476997091,1.9626244797465917,Basic Materials,Aluminum
1978,SBSW,10.31666660308838,8.600000381469728,986852.0,838.7561439076927,0.8336026269275044,1006.1822225767007,Basic Materials,Gold
1987,GSM,1.0216666460037231,0.8521999716758728,679653.0,0.06967049652730004,0.8341272322134389,0.08352502332578507,Basic Materials,Other Industrial Metals & Mining
2077,AXTA,29.72666645050049,24.989999771118164,1276342.0,1.115951263462417,0.8406593390728957,1.327471440087873,Basic Materials,Specialty Chemicals
2121,CF,38.84852600097656,32.814998626708984,1250699.0,0.8766788566279642,0.8446909575381082,1.037869351866967,Basic Materials,Agricultural Inputs
2127,JCTCF,7.574999968210857,6.4000000953674325,1610.0,1.4811419655899036,0.8448845045842358,1.7530703398552296,Basic Materials,Lumber & Wood Production
2183,ASIX,19.30500030517578,16.399999618530273,325594.0,1.0251797651200207,0.8495208163313699,1.2067741548079172,Basic Materials,Chemicals
2195,AUG,1.3991666436195374,1.190000057220459,320997.0,1.8377710469174275,0.8505063086281272,2.160796490600717,Basic Materials,Other Industrial Metals & Mining
2219,MLM,258.6766357421875,220.38499450683597,275923.0,2.4473007553450747,0.8519710095753863,2.872516468095299,Basic Materials,Building Materials
2283,MUX,1.1899999976158142,1.0199999809265137,2260802.0,1.046969500706204,0.857142842832018,1.2214644378841155,Basic Materials,Other Precious Metals & Mining
2321,NG,9.198333263397217,7.9099998474121085,5072705.0,2.800654247748372,0.8599383845862867,3.256808043399245,Basic Materials,Gold
2342,UAMY,0.41833333174387616,0.36039999127388,29146.0,0.5886600324921404,0.8615139266371781,0.6832855677561802,Basic Materials,Other Industrial Metals & Mining
2545,OLN,17.481431325276688,15.3149995803833,1248969.0,0.9407597692389474,0.8760724047943997,1.0738379203482944,Basic Materials,Specialty Chemicals
2558,VMC,140.08939107259116,122.87999725341795,418130.0,2.1855241757885997,0.8771541964212288,2.4916077295252,Basic Materials,Building Materials
2563,TG,20.37729040781657,17.885000228881836,167416.0,1.065994109669568,0.877692758504403,1.2145413065570148,Basic Materials,Specialty Chemicals
2626,NGVT,65.40833409627278,57.63000106811523,181909.0,3.2975827613717987,0.8810803984594864,3.7426581809530832,Basic Materials,Specialty Chemicals
2674,NP,67.15191141764322,59.3650016784668,26089.0,1.269673110709176,0.8840403858239166,1.436216185447064,Basic Materials,Paper & Paper Products
2678,FRD,5.541690508524578,4.900000095367432,24505.0,0.8496102485042185,0.8842067394110052,0.9608728486622571,Basic Materials,Steel
2715,HCC,19.93968963623047,17.68000030517578,492459.0,5.462060991336478,0.8866737962185316,6.160169630173988,Basic Materials,Coking Coal
2728,CMP,61.75932502746582,54.84000015258789,133653.0,0.9072921169123709,0.8879630748587238,1.0217678444080824,Basic Materials,Other Industrial Metals & Mining
2797,RS,113.85648473103839,101.73999786376952,110379.0,2.126374700454317,0.8935810560470799,2.3796103174576317,Basic Materials,Steel
2809,TSE,28.333588918050125,25.34000015258789,659411.0,1.8564380085670384,0.8943448790013626,2.0757518180681727,Basic Materials,Specialty Chemicals
2937,TECK,13.394492149353027,12.085000038146973,2434989.0,1.0762116302838287,0.9022365240425106,1.192826494611208,Basic Materials,Other Industrial Metals & Mining
2967,CE,108.39750544230145,98.0199966430664,351497.0,2.0172252651791043,0.9042643208725976,2.2307916154786698,Basic Materials,Chemicals
3006,VRS,18.81833330790202,17.079900741577152,122277.0,1.9359206262169373,0.9076202691343084,2.132963191824072,Basic Materials,Paper & Paper Products
3016,ZEUS,13.941418011983234,12.65999984741211,49728.0,0.8336771126026904,0.9080855216112382,0.9180601306399828,Basic Materials,Steel
3019,FCX,12.286666711171467,11.15999984741211,10873111.0,0.5711555660237487,0.908301666331117,0.6288170408525229,Basic Materials,Copper
3064,ASH,80.33443069458008,73.2300033569336,197587.0,1.487357889721366,0.9115643532141716,1.6316542924006945,Basic Materials,Chemicals
